"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"",252319,7495,,,,,,,0,MC,,401650000,11/28/2023 22:30:54,1,1,0,-126,401650000,,,,,,,,,,,,84,73,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,,,,,,,0,NP,,401650000,12/04/2023 23:03:31,1,1,0,-132,401650000,,,,,,,,,,,,40,239,192,238,238,238,238,238,238,238,238,238,238,238,238,234,239,192,0,0,0,0,0,1,5,255,69,0,0,0,31,
"",252319,7495,-10.46835,145.0628,B,12/05/2023 00:53:57,Argos,0,19,NN,,401677703.44,12/05/2023 00:53:47,1,2,0,-128,401677703.44,145.0628,-10.46835,140.79732,-9.46157,0,3,7434,314522,175,132,21032,40,240,128,238,230,238,238,238,238,238,224,238,238,238,224,155,240,128,0,0,0,0,0,0,0,137,255,2,0,0,67,
"",252319,7495,-10.46835,145.0628,B,12/05/2023 00:53:57,Argos,0,19,NN,,401677703.44,12/05/2023 00:54:07,1,2,0,-128,401677703.44,145.0628,-10.46835,140.79732,-9.46157,0,3,7434,314522,175,132,21032,40,240,64,238,238,238,238,238,238,238,238,238,238,238,238,233,240,64,0,0,0,0,0,0,0,255,251,0,0,0,18,
"",252319,7495,,,,,,,0,CS,,401650000,12/07/2023 07:04:28,1,1,0,-132,401650000,,,,,,,,,,,,40,239,160,238,238,238,238,238,238,238,238,238,238,224,238,57,239,160,0,0,0,0,0,0,0,255,48,0,0,0,52,
"",252319,7495,,,,,,,0,NN,,401650000,12/08/2023 12:54:39,1,1,0,-133,401650000,,,,,,,,,,,,40,240,128,238,238,238,230,248,162,197,227,179,134,102,146,151,86,107,146,157,75,52,169,51,203,204,169,87,122,166,47,
"",252319,7495,,,,,,,0,NK,,401650000,12/08/2023 22:18:02,1,1,0,-129,401650000,,,,,,,,,,,,40,99,166,45,49,165,94,77,202,164,26,53,36,139,177,43,145,136,116,87,135,144,149,2,189,54,156,76,101,233,124,
"",252319,7495,,,,,,,0,NP,,401650000,12/08/2023 22:18:02,1,1,0,-131,401650000,,,,,,,,,,,,104,107,130,52,18,219,99,100,47,6,134,53,246,117,150,230,65,101,96,174,13,65,65,64,140,78,118,169,129,199,179,
"",252319,7495,,,,,,,0,O3,,401650000,12/09/2023 03:16:10,1,1,0,-134,401650000,,,,,,,,,,,,88,208,165,253,232,146,78,248,100,141,14,213,0,63,165,67,179,129,166,4,99,244,89,,,,,,,,,
"",252319,7495,-10.81026,144.3694,A,12/10/2023 19:12:47,Argos,0,177,CS,,401677724.38,12/10/2023 19:11:04,1,3,0,-125,401677724.38,144.3694,-10.81026,144.3694,-10.81026,0,3,1366,8022,232,73,446,40,240,64,238,238,238,238,238,238,238,238,238,238,238,238,233,240,64,0,0,0,0,0,0,0,255,251,0,0,0,18,
"",252319,7495,-10.81026,144.3694,A,12/10/2023 19:12:47,Argos,0,177,CS,,401677724.38,12/10/2023 19:13:19,1,3,0,-125,401677724.38,144.3694,-10.81026,144.3694,-10.81026,0,3,1366,8022,232,73,446,40,240,96,238,238,238,238,238,238,238,238,238,238,238,238,23,240,96,0,0,0,0,0,1,1,255,213,1,0,0,123,
"",252319,7495,-10.81026,144.3694,A,12/10/2023 19:12:47,Argos,0,177,CS,,401677724.38,12/10/2023 19:14:01,1,3,0,-125,401677724.38,144.3694,-10.81026,144.3694,-10.81026,0,3,1366,8022,232,73,446,40,239,134,0,0,0,238,238,238,238,224,238,238,238,238,31,239,134,0,0,0,0,0,2,7,255,187,0,0,0,102,
"",252319,7495,-10.8106,144.36746,B,12/10/2023 20:15:54,Argos,0,0,SR,,401677728.74,12/10/2023 20:15:54,1,1,0,-126,401677728.74,144.36746,-10.8106,144.36746,-10.8106,8,3,21129,22084,20215,73,3088,40,240,192,238,238,14,238,238,238,238,238,238,238,238,224,219,240,192,0,0,0,0,0,5,33,174,255,1,0,0,240,
"",252319,7495,-10.81274,144.36235,B,12/10/2023 23:31:09,Argos,0,0,NP,,401677732.06,12/10/2023 23:31:09,1,1,0,-131,401677732.06,144.36235,-10.81274,144.36235,-10.81274,8,3,29965,30635,29309,97,6194,40,239,160,238,238,238,238,238,238,238,238,238,238,224,238,57,239,160,0,0,0,0,0,0,0,255,48,0,0,0,52,
"",252319,7495,-10.82049,144.36001,B,12/10/2023 23:45:53,Argos,0,0,NN,,401677741.3,12/10/2023 23:45:54,1,1,0,-128,401677741.3,144.36001,-10.82049,144.36002,-10.82049,6,3,23551,28117,19726,112,5962,40,240,160,15,238,142,238,239,239,230,238,174,238,238,224,32,240,160,0,0,0,0,0,0,8,173,255,0,0,0,207,
"",252319,7495,-10.83693,144.34926,B,12/11/2023 03:17:19,Argos,0,0,O3,,401677753.17,12/11/2023 03:17:20,1,1,0,-127,401677753.17,144.34926,-10.83693,144.34926,-10.83693,8,3,2740,3456,2171,110,7749,66,240,165,253,232,146,78,248,101,141,35,86,20,7,85,2,77,50,26,213,96,187,128,,,,,,,,,
"",252319,7495,-10.83303,144.33848,B,12/11/2023 07:36:33,Argos,0,0,CS,,401677759.68,12/11/2023 07:36:33,1,1,0,-126,401677759.68,144.33848,-10.83303,144.33849,-10.83303,8,3,2822,5987,1330,79,7982,40,240,96,238,238,238,238,238,238,238,238,238,238,238,238,23,240,96,0,0,0,0,0,1,1,255,213,1,0,0,123,
"",252319,7495,-10.86516,144.14796,A,12/11/2023 08:17:16,Argos,0,154,NK,,401677713.65,12/11/2023 08:16:20,1,3,0,-133,401677713.65,144.14796,-10.86516,144.14796,-10.86516,8,3,18791,118515,2979,25,4428,40,241,32,174,238,238,224,238,238,238,238,238,238,238,238,217,241,32,2,1,1,1,3,6,20,174,255,0,0,0,69,
"",252319,7495,-10.86516,144.14796,A,12/11/2023 08:17:16,Argos,0,154,NK,,401677713.65,12/11/2023 08:16:37,1,3,0,-133,401677713.65,144.14796,-10.86516,144.14796,-10.86516,8,3,18791,118515,2979,25,4428,40,240,160,14,238,14,238,238,238,238,238,238,238,238,224,32,240,160,0,0,0,0,0,0,8,173,255,0,0,0,207,
"",252319,7495,-10.86516,144.14796,A,12/11/2023 08:17:16,Argos,0,154,NK,,401677713.65,12/11/2023 08:18:54,1,3,0,-133,401677713.65,144.14796,-10.86516,144.14796,-10.86516,8,3,18791,118515,2979,25,4428,40,241,64,238,238,238,238,238,238,238,238,238,14,238,238,194,241,64,7,5,5,5,6,7,26,255,242,4,0,0,162,
"",252319,7495,-10.87985,144.31681,B,12/11/2023 08:51:36,Argos,0,0,SR,,401677793.7,12/11/2023 08:51:37,1,1,0,-126,401677793.7,144.31681,-10.87985,144.3168,-10.87985,6,3,2753,8439,898,87,7787,40,241,0,238,238,238,238,14,14,14,238,238,238,238,14,155,241,0,1,1,1,1,1,1,6,141,255,0,0,0,103,
"",252319,7495,-11.19197,142.81999,B,12/11/2023 22:43:56,Argos,0,0,NK,,401677718.33,12/11/2023 22:43:56,1,1,0,-130,401677718.33,142.81999,-11.19197,142.81999,-11.19197,0,3,29299,45480,18875,70,9764,40,240,160,14,238,14,234,76,184,207,114,247,189,57,55,179,34,245,123,44,124,199,123,37,1,43,130,67,208,3,128,
"",252319,7495,-10.75596,144.13383,B,12/12/2023 20:36:16,Argos,0,318,NK,,401677768.95,12/12/2023 20:33:37,1,2,0,-129,401677768.95,144.13383,-10.75596,144.13383,-10.75596,0,3,13715,262435,716,1,6173,40,241,0,238,238,238,238,14,14,14,228,78,205,154,105,46,64,225,228,93,47,52,168,139,194,198,48,51,171,232,19,
"",252319,7495,-10.75596,144.13383,B,12/12/2023 20:36:16,Argos,0,318,NK,,401677768.95,12/12/2023 20:38:55,1,2,0,-129,401677768.95,144.13383,-10.75596,144.13383,-10.75596,0,3,13715,262435,716,1,6173,100,134,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.11344,143.46675,B,12/12/2023 20:43:55,Argos,0,0,SR,,401677637.21,12/12/2023 20:43:55,1,1,0,-130,401677637.21,143.46675,-11.11344,143.46675,-11.11344,0,3,52245,96523,28278,49,18358,68,91,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.15995,143.42748,B,12/12/2023 21:09:17,Argos,0,0,CS,,401677642.82,12/12/2023 21:09:17,1,1,0,-137,401677642.82,143.42748,-11.15995,143.42747,-11.15995,6,3,38527,109015,13616,65,15363,82,176,165,253,232,149,241,7,157,252,162,159,255,197,224,91,195,122,131,209,195,128,33,,,,,,,,,
"",252319,7495,-10.94423,143.71538,B,12/13/2023 07:52:47,Argos,0,78,SR,,401677660.38,12/13/2023 07:52:08,1,2,0,-125,401677660.38,143.71538,-10.94423,143.71538,-10.94423,8,3,33089,737281,1485,117,8628,15,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.13325,144.0733,B,12/13/2023 07:52:47,Argos,0,78,CS,,401677724.21,12/13/2023 07:52:08,1,2,0,-126,401677724.21,144.0733,-11.13325,144.0733,-11.13325,0,3,3847,9023,1639,71,536,15,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-10.94423,143.71538,B,12/13/2023 07:52:47,Argos,0,78,SR,,401677660.38,12/13/2023 07:53:26,1,2,0,-125,401677660.38,143.71538,-10.94423,143.71538,-10.94423,8,3,33089,737281,1485,117,8628,27,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.13325,144.0733,B,12/13/2023 07:52:47,Argos,0,78,CS,,401677724.21,12/13/2023 07:53:26,1,2,0,-126,401677724.21,144.0733,-11.13325,144.0733,-11.13325,0,3,3847,9023,1639,71,536,27,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.13491,144.09527,A,12/13/2023 08:22:10,Argos,0,0,A1,,401677712.15,12/13/2023 08:22:10,1,1,0,-123,401677712.15,144.09527,-11.13491,144.09528,-11.13491,6,2,3504,50243,244,110,749,40,241,128,21,127,187,176,204,144,128,204,197,227,255,230,231,160,161,40,89,63,177,247,197,241,152,13,208,129,69,191,
"",252319,7495,-11.13491,144.09527,A,12/13/2023 08:22:10,Argos,0,0,A1,,401677712.15,12/13/2023 08:24:30,1,1,0,-123,401677712.15,144.09527,-11.13491,144.09528,-11.13491,6,2,3504,50243,244,110,749,27,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.13491,144.09527,A,12/13/2023 08:22:10,Argos,0,0,A1,,401677712.15,12/13/2023 08:25:52,1,1,0,-123,401677712.15,144.09527,-11.13491,144.09528,-11.13491,6,2,3504,50243,244,110,749,73,87,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.10863,144.04091,B,12/13/2023 09:11:25,Argos,0,126,NK,,401677687.43,12/13/2023 09:09:20,1,2,0,-127,401677687.43,144.04091,-11.10863,144.04091,-11.10863,8,3,1400,7677,255,84,2033,107,133,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.10863,144.04091,B,12/13/2023 09:11:25,Argos,0,126,NK,,401677687.43,12/13/2023 09:11:26,1,2,0,-127,401677687.43,144.04091,-11.10863,144.04091,-11.10863,8,3,1400,7677,255,84,2033,122,34,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.09672,143.98926,B,12/13/2023 10:14:16,Argos,0,0,NP,,401677694.79,12/13/2023 10:14:17,1,1,0,-134,401677694.79,143.98926,-11.09672,143.98926,-11.09672,8,3,4226,14319,1247,86,7522,15,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.11173,144.11407,B,12/13/2023 10:42:38,Argos,0,42,NK,,401677720.35,12/13/2023 10:42:17,1,2,0,-129,401677720.35,144.11407,-11.11173,144.11407,-11.11173,6,3,2110,5822,764,64,4963,15,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.11173,144.11407,B,12/13/2023 10:42:38,Argos,0,42,NK,,401677720.35,12/13/2023 10:43:00,1,2,0,-129,401677720.35,144.11407,-11.11173,144.11407,-11.11173,6,3,2110,5822,764,64,4963,27,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.13433,144.01643,B,12/13/2023 11:51:35,Argos,0,0,NP,,401677666.07,12/13/2023 11:51:35,1,1,0,-126,401677666.07,144.01643,-11.13433,144.01643,-11.13433,8,3,1963,4348,885,80,5023,107,133,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.13626,144.10438,B,12/13/2023 11:51:35,Argos,0,0,NN,,401677716.07,12/13/2023 11:51:35,1,1,0,-137,401677716.07,144.10438,-11.13626,144.10439,-11.13626,0,3,3497,16936,722,82,8950,107,133,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.1346,144.01596,B,12/13/2023 12:07:51,Argos,0,0,MB,,401677713.06,12/13/2023 12:07:51,1,1,0,-135,401677713.06,144.01596,-11.1346,144.01596,-11.1346,6,3,5581,37569,829,86,14843,15,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.13418,144.15237,B,12/13/2023 12:50:30,Argos,0,14,MC,,401677724.24,12/13/2023 12:50:23,1,2,0,-126,401677724.24,144.15237,-11.13418,144.15237,-11.13418,7,2,14177,40907,4912,80,8087,71,84,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.13418,144.15237,B,12/13/2023 12:50:30,Argos,0,14,MC,,401677724.24,12/13/2023 12:50:38,1,2,0,-126,401677724.24,144.15237,-11.13418,144.15237,-11.13418,7,2,14177,40907,4912,80,8087,89,77,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.17447,144.11072,B,12/13/2023 13:36:19,Argos,0,95,NN,,401677714.04,12/13/2023 13:35:32,1,2,0,-126,401677714.04,144.11072,-11.17447,144.11072,-11.17447,8,3,11323,250360,512,96,5967,77,86,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.17447,144.11072,B,12/13/2023 13:36:19,Argos,0,95,NN,,401677714.04,12/13/2023 13:37:07,1,2,0,-126,401677714.04,144.11072,-11.17447,144.11072,-11.17447,8,3,11323,250360,512,96,5967,100,134,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.28254,144.04851,B,12/13/2023 21:37:22,Argos,0,14,A1,,401677685.1,12/13/2023 21:37:15,1,2,0,-135,401677685.1,144.04851,-11.28254,144.04851,-11.28254,8,3,8172,21205,3149,98,8477,100,134,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.28254,144.04851,B,12/13/2023 21:37:22,Argos,0,14,A1,,401677685.1,12/13/2023 21:37:30,1,2,0,-135,401677685.1,144.04851,-11.28254,144.04851,-11.28254,8,3,8172,21205,3149,98,8477,15,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.35324,143.99495,B,12/14/2023 02:29:51,Argos,0,0,NN,,401677687.17,12/14/2023 02:29:51,1,1,0,-137,401677687.17,143.99495,-11.35324,143.99495,-11.35324,8,3,5938,11112,3172,74,8710,101,131,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.31267,144.08836,B,12/14/2023 07:08:29,Argos,0,0,CS,,401677726.8,12/14/2023 07:08:30,1,1,0,-128,401677726.8,144.08836,-11.31267,144.08836,-11.31267,8,3,6042,11246,3246,96,9471,15,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.41609,144.02615,B,12/14/2023 19:40:42,Argos,0,0,CS,,401677729.2,12/14/2023 19:40:43,1,1,0,-137,401677729.2,144.02615,-11.41609,144.02615,-11.41609,0,3,6156,7571,5004,124,13643,40,241,224,247,36,46,96,4,128,14,238,0,238,224,14,205,241,160,0,1,1,1,1,1,7,2,255,2,0,0,31,
"",252319,7495,-11.40636,144.01998,B,12/14/2023 19:40:42,Argos,0,0,SR,,401677720.8,12/14/2023 19:40:43,1,1,0,-136,401677720.8,144.01998,-11.40636,144.01997,-11.40636,0,3,5872,9118,3781,178,16611,40,251,168,249,117,7,63,255,255,225,3,255,18,63,240,102,12,159,255,255,247,255,253,254,252,249,0,255,255,255,224,
"",252319,7495,-11.46671,144.0198,B,12/14/2023 21:18:58,Argos,0,51,A1,,401677723.52,12/14/2023 21:18:33,1,2,0,-130,401677723.52,144.0198,-11.46671,144.0198,-11.46671,8,3,1864,15786,220,27,5273,100,134,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.46119,144.02343,3,12/14/2023 21:18:58,Argos,0,51,NK,,401677718.1,12/14/2023 21:18:33,1,2,0,-130,401677718.1,144.02343,-11.46119,144.02344,-11.46119,50,3,107,353,32,104,267,100,134,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.46671,144.0198,B,12/14/2023 21:18:58,Argos,0,51,A1,,401677723.52,12/14/2023 21:19:24,1,2,0,-130,401677723.52,144.0198,-11.46671,144.0198,-11.46671,8,3,1864,15786,220,27,5273,15,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.46119,144.02343,3,12/14/2023 21:18:58,Argos,0,51,NK,,401677718.1,12/14/2023 21:19:24,1,2,0,-130,401677718.1,144.02343,-11.46119,144.02344,-11.46119,50,3,107,353,32,104,267,15,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.46119,144.02343,3,12/14/2023 21:18:58,Argos,0,51,NK,,401677718.1,12/14/2023 21:25:03,1,2,0,-130,401677718.1,144.02343,-11.46119,144.02344,-11.46119,50,3,107,353,32,104,267,27,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.46119,144.02343,3,12/14/2023 21:18:58,Argos,0,51,NK,,401677718.1,12/14/2023 21:26:54,1,2,0,-130,401677718.1,144.02343,-11.46119,144.02344,-11.46119,50,3,107,353,32,104,267,73,240,165,245,232,152,202,248,103,85,189,212,84,9,73,12,1,255,24,213,96,255,128,,,,,,,,,
"",252319,7495,-11.46119,144.02343,3,12/14/2023 21:18:58,Argos,0,51,NK,,401677718.1,12/14/2023 21:29:40,1,2,0,-130,401677718.1,144.02343,-11.46119,144.02344,-11.46119,50,3,107,353,32,104,267,72,87,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.48481,144.01264,B,12/14/2023 22:44:17,Argos,0,487,NP,,401677717.28,12/14/2023 22:44:18,1,2,0,-126,401677717.28,144.01264,-11.48481,144.01263,-11.48481,8,3,896,6673,120,5,2530,27,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.46453,144.01357,B,12/14/2023 22:44:17,Argos,0,0,MB,,401677722.24,12/14/2023 22:44:18,1,1,0,-136,401677722.24,144.01357,-11.46453,144.01357,-11.46453,0,3,1789,25544,125,5,5059,27,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.48481,144.01264,B,12/14/2023 22:44:17,Argos,0,487,NP,,401677717.28,12/14/2023 22:52:25,1,2,0,-126,401677717.28,144.01264,-11.48481,144.01263,-11.48481,8,3,896,6673,120,5,2530,237,132,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.46639,144.01234,B,12/14/2023 23:01:01,Argos,0,0,NK,,401677726.56,12/14/2023 23:01:02,1,1,0,-133,401677726.56,144.01234,-11.46639,144.01234,-11.46639,6,3,1788,7383,433,6,5056,15,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.50726,144.00466,B,12/14/2023 23:44:57,Argos,0,38,MC,,401677717.27,12/14/2023 23:44:39,1,2,0,-122,401677717.27,144.00466,-11.50726,144.00465,-11.50726,8,3,1814,2471,1330,156,3342,15,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.50726,144.00466,B,12/14/2023 23:44:57,Argos,0,38,MC,,401677717.27,12/14/2023 23:45:17,1,2,0,-122,401677717.27,144.00466,-11.50726,144.00465,-11.50726,8,3,1814,2471,1330,156,3342,27,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.51255,143.95992,A,12/15/2023 00:32:19,Argos,0,476,NP,,401677714.68,12/15/2023 00:24:52,1,3,0,-132,401677714.68,143.95992,-11.51255,143.95992,-11.51255,0,3,231,485,110,129,281,27,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.51908,143.96882,A,12/15/2023 00:32:19,Argos,0,56,NN,,401677709.74,12/15/2023 00:31:51,1,2,0,-123,401677709.74,143.96882,-11.51908,143.96883,-11.51908,8,2,441,3392,57,125,917,75,88,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.51713,144.00287,B,12/15/2023 00:32:19,Argos,0,56,NP,,401677708.26,12/15/2023 00:31:51,1,2,0,-132,401677708.26,144.00287,-11.51713,144.00287,-11.51713,0,3,825,3577,190,92,2330,75,120,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.51908,143.96882,A,12/15/2023 00:32:19,Argos,0,56,NN,,401677709.74,12/15/2023 00:32:48,1,2,0,-123,401677709.74,143.96882,-11.51908,143.96883,-11.51908,8,2,441,3392,57,125,917,81,219,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.51713,144.00287,B,12/15/2023 00:32:19,Argos,0,56,NP,,401677708.26,12/15/2023 00:32:48,1,2,0,-132,401677708.26,144.00287,-11.51713,144.00287,-11.51713,0,3,825,3577,190,92,2330,81,219,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.51729,144.00306,B,12/15/2023 00:32:48,Argos,0,0,MB,,401677709.2,12/15/2023 00:32:48,1,1,0,-134,401677709.2,144.00306,-11.51729,144.00307,-11.51729,6,3,831,3410,202,92,2346,81,219,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.51908,143.96882,A,12/15/2023 00:32:19,Argos,0,56,NN,,401677709.74,12/15/2023 00:35:39,1,2,0,-123,401677709.74,143.96882,-11.51908,143.96883,-11.51908,8,2,441,3392,57,125,917,110,132,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.54733,143.99262,B,12/15/2023 01:52:57,Argos,0,0,O3,,401677706.98,12/15/2023 01:52:57,1,1,0,-124,401677706.98,143.99262,-11.54733,143.99261,-11.54733,8,3,1458,2021,1051,90,4122,93,239,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.54991,143.98889,B,12/15/2023 02:15:17,Argos,0,0,NN,,401677718.55,12/15/2023 02:15:18,1,1,0,-131,401677718.55,143.98889,-11.54991,143.98889,-11.54991,6,3,4457,6037,3290,21,5789,15,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.63434,143.93019,B,12/15/2023 08:22:44,Argos,0,342,SR,,401677719.79,12/15/2023 08:22:45,1,2,0,-125,401677719.79,143.93019,-11.63434,143.93019,-11.63434,8,3,2303,92535,57,69,6510,87,222,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.63434,143.93019,B,12/15/2023 08:22:44,Argos,0,342,SR,,401677719.79,12/15/2023 08:28:27,1,2,0,-125,401677719.79,143.93019,-11.63434,143.93019,-11.63434,8,3,2303,92535,57,69,6510,15,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.82182,143.98722,B,12/15/2023 21:03:02,Argos,0,73,NK,,401677710.35,12/15/2023 21:02:25,1,2,0,-128,401677710.35,143.98722,-11.82182,143.98721,-11.82182,0,3,3149,43966,225,114,8908,90,50,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.82182,143.98722,B,12/15/2023 21:03:02,Argos,0,73,NK,,401677710.35,12/15/2023 21:03:39,1,2,0,-128,401677710.35,143.98722,-11.82182,143.98721,-11.82182,0,3,3149,43966,225,114,8908,15,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.8668,144.00155,1,12/15/2023 22:33:15,Argos,0,622,NP,,401677712.55,12/15/2023 22:31:28,1,8,0,-125,401677712.55,144.00155,-11.8668,144.00156,-11.8668,48,3,518,559,479,113,198,72,87,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.8668,144.00155,1,12/15/2023 22:33:15,Argos,0,622,NP,,401677712.55,12/15/2023 22:32:50,1,8,0,-125,401677712.55,144.00155,-11.8668,144.00156,-11.8668,48,3,518,559,479,113,198,93,102,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.8668,144.00155,1,12/15/2023 22:33:15,Argos,0,622,NP,,401677712.55,12/15/2023 22:33:05,1,8,0,-125,401677712.55,144.00155,-11.8668,144.00156,-11.8668,48,3,518,559,479,113,198,100,134,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.86304,144.00125,1,12/15/2023 22:34:04,Argos,0,377,NK,,401677713.12,12/15/2023 22:34:05,1,3,0,-130,401677713.12,144.00125,-11.86304,144.00125,-11.86304,56,3,558,896,347,68,288,15,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.8668,144.00155,1,12/15/2023 22:33:15,Argos,0,622,NP,,401677712.55,12/15/2023 22:34:05,1,8,0,-125,401677712.55,144.00155,-11.8668,144.00156,-11.8668,48,3,518,559,479,113,198,15,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.8668,144.00155,1,12/15/2023 22:33:15,Argos,0,622,NP,,401677712.55,12/15/2023 22:37:33,1,8,0,-125,401677712.55,144.00155,-11.8668,144.00156,-11.8668,48,3,518,559,479,113,198,77,86,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.86304,144.00125,1,12/15/2023 22:34:04,Argos,0,377,NK,,401677713.12,12/15/2023 22:37:33,1,3,0,-130,401677713.12,144.00125,-11.86304,144.00125,-11.86304,56,3,558,896,347,68,288,77,86,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.86304,144.00125,1,12/15/2023 22:34:04,Argos,0,377,NK,,401677713.12,12/15/2023 22:39:36,1,3,0,-130,401677713.12,144.00125,-11.86304,144.00125,-11.86304,56,3,558,896,347,68,288,84,107,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",252319,7495,-11.86304,144.00125,1,12/15/2023 22:34:04,Argos,0,377,NK,,401677713.12,12/15/2023 22:40:22,1,3,0,-130,401677713.12,144.00125,-11.86304,144.00125,-11.86304,56,3,558,896,347,68,288,87,80,165,253,232,151,6,92,75,210,7,58,65,7,150,49,101,221,45,88,83,25,72,,,,,,,,,
